library,version,sign,date
LoggingJ2MEAll,1,-,2012-10-09
LoggingJ2MEAll,1,+,2011-08-08
LoggingJ2MEAll,1,+,2012-03-23
LoggingJ2MEAll,1,-,2012-03-23
PreLoaderHttpJavaLibrary,1,-,2012-10-09
junit,3.8.1,-,2013-08-16
junit,3.8.1,-,2012-10-09
junit,3.8.1,+,2014-09-21
junit,3.8.1,-,2012-03-23
junit,3.8.1,+,2015-08-09
junit,3.8.1,+,2012-11-05
junit,3.8.1,-,2011-08-08
junit,3.8.1,+,2012-03-23
junit,3.8.1,+,2012-10-09
junit,3.8.1,+,2011-08-08
junit,3.8.1,-,2012-11-05
junit,3.8.1,+,2013-08-16
junit,3.8.1,-,2015-08-09
junit,3.8.1,-,2014-09-21
jsp-api,2.1,+,2012-03-23
LicenseClientJavaLibrary,1,+,2011-08-08
LicenseClientJavaLibrary,1,+,2012-03-23
LicenseClientJavaLibrary,1,-,2012-10-09
servlet-api,2.5,+,2012-03-23
servlet-api,2.5,+,2014-09-21
servlet-api,2.5,-,2014-09-21
servlet-api,2.4,+,2012-03-23
