library,version,sign,date
bw-access,4.0.5,-,2019-01-28
bw-access,4.0.1-SNAPSHOT,+,2013-11-21
bw-access,4.0.7,+,2019-08-17
bw-access,4.0.3,-,2018-11-29
bw-access,4.0.2-SNAPSHOT,-,2018-03-20
bw-access,4.0.2,+,2018-03-20
bw-access,4.0.6,-,2019-08-17
bw-access,4.0.0-SNAPSHOT,-,2013-11-21
bw-access,4.0.6,+,2019-01-28
bw-access,4.0.2-SNAPSHOT,+,2015-04-28
bw-access,4.0.4,+,2018-11-29
bw-access,4.0.1-SNAPSHOT,-,2015-04-28
bw-access,4.0.2,-,2018-08-24
bw-access,4.0.8,+,2019-11-17
bw-access,4.0.3,+,2018-08-24
bw-access,4.0.5,+,2018-12-14
bw-access,4.0.7,-,2019-11-17
bw-access,4.0.4,-,2018-12-14
jaxws-api,2.3.1,+,2019-06-27
bw-caldav-server,4.0.1-SNAPSHOT,+,2013-11-21
bw-caldav-server,4.0.1-SNAPSHOT,-,2016-01-17
bw-caldav-server,4.0.0-SNAPSHOT,-,2013-11-21
bw-util-security,4.1.0-SNAPSHOT,-,2019-11-17
bw-util-security,4.1.0-SNAPSHOT,+,2019-11-12
bw-util-security,4.1.0,+,2019-11-17
bw-caldav-util,4.0.1-SNAPSHOT,-,2015-04-28
bw-caldav-util,4.0.1-SNAPSHOT,+,2013-11-21
bw-caldav-util,4.0.3-SNAPSHOT,-,2016-01-17
bw-caldav-util,4.0.0-SNAPSHOT,-,2013-11-21
bw-caldav-util,4.0.3-SNAPSHOT,+,2015-04-28
bw-webdav,4.0.1-SNAPSHOT,+,2013-11-21
bw-webdav,4.0.2-SNAPSHOT,-,2018-03-20
bw-webdav,4.0.2,+,2018-03-20
bw-webdav,4.0.0-SNAPSHOT,-,2013-11-21
bw-webdav,4.0.9,+,2019-11-17
bw-webdav,4.0.4,+,2018-08-24
bw-webdav,4.0.8,-,2019-11-17
bw-webdav,4.0.5,-,2018-12-14
bw-webdav,4.0.2-SNAPSHOT,+,2015-04-28
bw-webdav,4.0.7,-,2019-08-17
bw-webdav,4.0.1-SNAPSHOT,-,2015-04-28
bw-webdav,4.0.8,+,2019-08-17
bw-webdav,4.0.6,+,2018-12-14
bw-webdav,4.0.2,-,2018-08-24
bw-webdav,4.0.7,+,2019-01-28
bw-webdav,4.0.4,-,2018-11-29
bw-webdav,4.0.6,-,2019-01-28
bw-webdav,4.0.5,+,2018-11-29
bw-util-tz,4.1.0-SNAPSHOT,-,2019-11-17
bw-util-tz,4.1.0-SNAPSHOT,+,2019-11-12
bw-util-tz,4.1.0,+,2019-11-17
