library,version,sign,date
checkthread-annotations,1.0.9,-,2013-06-02
checkthread-annotations,1.0.9,+,2013-06-02
checkthread-annotations,1.0.9,-,2013-07-07
easymock,3.2,-,2014-07-31
easymock,3.2,+,2014-01-26
junit,4.11,-,2014-07-31
junit,4.11,+,2013-06-02
junit,4.11,-,2013-07-07
junit,4.11,-,2013-06-02
annotations,11.1.1,-,2013-06-02
annotations,11.1.1,-,2014-07-31
annotations,11.1.1,-,2014-01-26
annotations,11.1.1,-,2013-07-07
annotations,11.1.1,+,2013-06-02
commons-lang,2.4,+,2014-03-27
commons-lang,2.4,+,2013-06-02
commons-lang,2.4,-,2013-07-07
commons-lang,2.6,-,2014-07-31
commons-lang,2.4,-,2014-04-06
commons-lang,2.4,-,2013-06-02
queryj-core,3.0-SNAPSHOT,+,2013-06-02
queryj-core,2.1-SNAPSHOT,-,2013-06-02
queryj-core,3.0-SNAPSHOT,-,2013-07-07
queryj-core,2.1-SNAPSHOT,-,2013-07-07
