library,version,sign,date
net.adamcin.commons.testing,0.5.0-SNAPSHOT,+,2013-03-19
net.adamcin.commons.testing,0.6.0,-,2016-08-09
net.adamcin.commons.testing,0.5.0-SNAPSHOT,-,2013-04-01
net.adamcin.commons.testing,0.6.0,+,2013-04-01
com.adobe.granite.ui.commons,5.5.14,-,2015-05-09
org.apache.sling.commons.json,2.0.6,+,2013-01-24
org.apache.sling.commons.json,2.0.6,-,2016-08-09
org.apache.sling.commons.json,2.0.6,-,2013-04-01
org.apache.sling.commons.json,2.0.6,+,2013-04-01
jcr,2.0,+,2013-01-24
jcr,2.0,+,2013-04-01
jcr,2.0,-,2013-04-01
json,20080701,+,2013-04-01
json,20080701,-,2015-05-09
org.apache.sling.api,2.2.0,-,2016-08-09
org.apache.sling.api,2.2.0,+,2013-01-24
org.apache.sling.api,2.2.0,+,2013-04-01
org.apache.sling.api,2.2.0,-,2013-04-01
commons-lang,2.5,+,2013-01-24
commons-lang,2.5,+,2013-04-01
commons-lang,2.5,-,2013-01-24
commons-lang,2.5,-,2013-04-01
