library,version,sign,date
slf4j-api,1.7.5,-,2014-03-12
slf4j-api,1.7.5,-,2013-07-18
slf4j-api,1.7.5,+,2013-07-18
vertx-platform,1.3.1.final,-,2013-05-28
vertx-platform,2.0.0-beta4-SNAPSHOT,-,2013-05-29
junit,4.11,+,2014-03-17
slf4j-simple,1.7.5,+,2013-09-13
slf4j-simple,1.7.5,-,2014-03-12
slf4j-simple,1.7.5,+,2013-09-26
fest-assert,1.4,-,2013-07-18
fest-assert,1.4,-,2014-03-12
fest-assert,1.4,+,2013-07-18
mockito-core,1.9.0,+,2013-07-18
mockito-core,1.9.0,-,2013-07-18
mockito-core,1.9.0,-,2014-03-12
