library,version,sign,date
org.eclipse.osgi,3.7.1,-,2014-01-20
org.eclipse.osgi,3.7.1,+,2014-01-20
org.eclipse.osgi,3.7.1,+,2013-12-26
junit,4.11,+,2013-11-19
junit,4.8.1,-,2013-10-20
junit,4.8.1,+,2014-01-20
junit,4.11,+,2013-11-11
junit,4.8.1,-,2014-01-20
junit,4.8.1,+,2013-10-24
junit,4.11,-,2013-11-17
junit,4.8.1,+,2013-01-16
slf4j-log4j12,1.6.1,+,2014-01-20
slf4j-log4j12,1.6.1,-,2014-01-20
slf4j-log4j12,1.6.1,-,2013-01-16
slf4j-log4j12,1.6.1,+,2013-10-20
slf4j-log4j12,1.6.1,-,2013-10-24
slf4j-log4j12,1.6.1,+,2013-01-16
slf4j-log4j12,1.6.1,+,2013-10-24
slf4j-log4j12,1.6.1,-,2013-10-20
sqlite-jdbc,3.6.20,+,2014-01-20
sqlite-jdbc,3.6.20,+,2013-10-24
sqlite-jdbc,3.6.20,-,2014-01-20
sqlite-jdbc,3.6.20,+,2013-01-16
sqlite-jdbc,3.6.20,-,2013-10-24
sqlite-jdbc,3.6.20,-,2013-01-16
sqlite-jdbc,3.6.20,-,2013-10-20
sqlite-jdbc,3.6.20,+,2013-10-20
ormlite-jdbc,4.31,-,2013-10-20
ormlite-jdbc,4.31,-,2013-01-16
ormlite-jdbc,4.31,+,2013-10-20
ormlite-jdbc,4.31,+,2013-10-24
ormlite-jdbc,4.31,+,2013-01-16
ormlite-jdbc,4.31,+,2014-01-20
ormlite-jdbc,4.31,-,2014-01-20
ormlite-jdbc,4.31,-,2013-10-24
quartz,2.1.3,+,2014-01-20
quartz,2.1.3,-,2014-01-20
quartz,2.1.3,-,2013-10-24
quartz,2.1.3,+,2013-01-16
quartz,2.1.3,-,2013-10-20
quartz,2.1.3,+,2013-10-20
quartz,2.1.3,-,2013-01-16
quartz,2.1.3,+,2013-10-24
org.eclipse.core.commands,3.6.1,+,2013-10-20
org.eclipse.core.commands,3.6.0.I20100512-1500,-,2013-01-15
org.eclipse.core.commands,3.6.1,-,2013-01-16
org.eclipse.core.commands,3.6.1,-,2013-01-15
org.eclipse.core.commands,3.6.1,+,2013-10-24
org.eclipse.core.commands,3.6.1,-,2013-10-20
org.eclipse.core.commands,3.6.1,-,2013-10-24
org.eclipse.core.commands,3.6.0,-,2013-01-15
org.eclipse.core.commands,3.6.1,+,2014-01-20
org.eclipse.core.commands,3.6.1,-,2014-01-20
org.eclipse.core.commands,3.6.1,+,2013-01-16
org.eclipse.core.commands,3.6.1,+,2013-01-15
commons-daemon,1.0.10,+,2013-01-16
commons-daemon,1.0.10,+,2013-10-24
commons-daemon,1.0.10,+,2014-01-20
commons-daemon,1.0.10,-,2014-01-20
commons-daemon,1.0.10,-,2013-01-16
commons-daemon,1.0.10,-,2013-10-24
commons-daemon,1.0.10,+,2013-10-20
commons-daemon,1.0.10,-,2013-10-20
ajaxplorer-sdk-java,0.1.0-SNAPSHOT,-,2013-10-20
ajaxplorer-sdk-java,0.1.0-SNAPSHOT,-,2013-10-24
