library,version,sign,date
ddlutils,1.0,+,2017-12-04
junit,4.5,-,2014-10-14
junit,4.12,+,2018-10-29
junit,4.12,+,2014-10-14
canal.protocol,1.1.2-SNAPSHOT,-,2018-10-29
canal.protocol,1.1.1,-,2018-10-29
canal.protocol,1.1.4-SNAPSHOT,-,2019-04-04
canal.protocol,1.1.3-SNAPSHOT,-,2018-11-26
canal.protocol,1.1.2,-,2018-11-26
canal.protocol,1.1.3,-,2019-04-04
canal.protocol,1.1.1,+,2018-08-20
canal.protocol,1.1.4,-,2019-09-02
mysql-connector-java,5.1.40,+,2018-08-20
mysql-connector-java,5.1.40,-,2018-11-26
mysql-connector-java,5.1.33,+,2014-10-14
mysql-connector-java,5.1.40,+,2018-11-26
mysql-connector-java,5.1.12,-,2014-10-14
mysql-connector-java,5.1.40,+,2019-04-04
mysql-connector-java,5.1.47,+,2018-11-26
mysql-connector-java,5.1.33,-,2017-04-01
druid,1.1.6,-,2017-12-04
druid,1.1.6,+,2017-04-01
druid,1.1.9,+,2018-08-20
commons-collections,3.2,+,2017-12-04
canal.client,1.1.2-SNAPSHOT,-,2018-10-29
canal.client,1.1.1,-,2018-10-29
canal.client,1.1.4-SNAPSHOT,-,2019-04-04
canal.client,1.1.3-SNAPSHOT,-,2018-11-26
canal.client,1.1.2,-,2018-11-26
canal.client,1.1.3,-,2019-04-04
canal.client,1.1.1,+,2018-08-20
commons-beanutils,1.8.2,+,2019-04-04
commons-beanutils,1.8.2,+,2017-12-04
commons-lang3,3.7,+,2017-12-04
commons-pool2,2.5.0,+,2017-12-04
