library,version,sign,date
junit-addons,1.4,+,2013-09-20
msbuild-maven-plugin,0.1.0,-,2013-09-18
msbuild-maven-plugin,1.2.1-SNAPSHOT,-,2013-11-05
msbuild-maven-plugin,${project.version},+,2013-09-10
msbuild-maven-plugin,1.3.1,-,2019-10-01
msbuild-maven-plugin,1.3.0,-,2019-09-28
msbuild-maven-plugin,1.2,-,2013-11-05
msbuild-maven-plugin,1.2,-,2013-11-02
msbuild-maven-plugin,1.2-SNAPSHOT,-,2013-10-10
msbuild-maven-plugin,0.7-SNAPSHOT,-,2013-09-24
msbuild-maven-plugin,1.1-SNAPSHOT,-,2013-09-26
msbuild-maven-plugin,0.4,-,2013-09-23
msbuild-maven-plugin,${project.version},-,2013-09-20
msbuild-maven-plugin,0.4,-,2013-09-20
msbuild-maven-plugin,1.2.3-SNAPSHOT,-,2019-09-28
msbuild-maven-plugin,0.6-SNAPSHOT,-,2013-09-23
msbuild-maven-plugin,0.5,-,2013-09-23
msbuild-maven-plugin,0.5,-,2013-09-24
msbuild-maven-plugin,0.1.0,+,2013-09-10
msbuild-maven-plugin,1.2.2,-,2019-09-28
msbuild-maven-plugin,1.3-SNAPSHOT,-,2013-11-02
msbuild-maven-plugin,0.1.0-SNAPSHOT,-,2013-09-10
msbuild-maven-plugin,0.3-SNAPSHOT,-,2013-09-17
msbuild-maven-plugin,1.2-SNAPSHOT,-,2013-11-02
msbuild-maven-plugin,0.1.0-SNAPSHOT,-,2013-09-09
msbuild-maven-plugin,0.6,-,2013-09-24
msbuild-maven-plugin,1.2.2-SNAPSHOT,-,2019-09-28
msbuild-maven-plugin,0.5-SNAPSHOT,-,2013-09-23
msbuild-maven-plugin,0.1.1-SNAPSHOT,-,2013-09-11
msbuild-maven-plugin,0.1.0,-,2013-09-09
msbuild-maven-plugin,0.3,-,2013-09-18
msbuild-maven-plugin,1.1,-,2013-10-10
msbuild-maven-plugin,1.2.1,-,2013-11-05
msbuild-maven-plugin,0.2,-,2013-09-11
msbuild-maven-plugin,1.2.2-SNAPSHOT,-,2013-11-05
msbuild-maven-plugin,1.3.1-SNAPSHOT,-,2019-09-28
msbuild-maven-plugin,1.0,-,2013-09-26
msbuild-maven-plugin,${pom.version},-,2013-09-10
msbuild-maven-plugin,0.4-SNAPSHOT,-,2013-09-18
msbuild-maven-plugin,1.0,-,2013-10-10
msbuild-maven-plugin,${pom.version},+,2013-09-09
