library,version,sign,date
junit,4.8.1,-,2016-08-28
junit,4.8.1,+,2015-07-16
junit,4.8.1,+,2014-11-24
junit,4.8.1,+,2016-10-08
junit,4.8.1,-,2016-10-25
junit,4.8.1,+,2016-04-13
junit,4.8.1,+,2018-03-22
junit,4.4,-,2016-01-14
junit,4.4,-,2016-03-18
junit,4.8.1,+,2014-02-04
junit,4.8.1,+,2016-08-31
junit,4.4,-,2016-01-18
junit,4.8.1,-,2014-11-24
junit,4.4,-,2016-01-19
junit,4.4,+,2013-09-03
junit,4.8.1,-,2016-08-31
junit,4.4,+,2016-01-18
junit,4.8.1,-,2015-07-16
junit,4.8.1,-,2018-03-22
junit,4.8.1,-,2016-10-13
junit,4.8.1,+,2016-08-28
nlp-lang,1.2,-,2016-02-21
nlp-lang,0.3,+,2014-11-24
nlp-lang,1.7,-,2016-08-31
nlp-lang,0.1,-,2014-06-13
nlp-lang,1.7.8,+,2018-03-22
nlp-lang,1.0.2,-,2016-01-11
nlp-lang,1.7.5,-,2017-09-26
nlp-lang,1.7,-,2016-10-13
nlp-lang,1.7.1,-,2016-12-09
nlp-lang,1.1,-,2016-02-02
nlp-lang,1.7.2,-,2017-05-20
nlp-lang,1.0,-,2015-07-16
nlp-lang,1.7.7,-,2017-12-04
nlp-lang,1.7,+,2016-10-08
nlp-lang,1.5,-,2016-05-13
nlp-lang,1.7,+,2016-08-31
nlp-lang,1.7.3,-,2017-09-23
nlp-lang,1.7,-,2016-08-28
nlp-lang,1.7.8,-,2018-03-22
nlp-lang,1.7.6,-,2017-11-20
nlp-lang,1.0.2,+,2015-07-16
nlp-lang,1.7,-,2016-10-25
nlp-lang,0.2,-,2014-11-24
nlp-lang,0.1,+,2014-04-18
nlp-lang,1.7,+,2016-08-28
nlp-lang,0.3,-,2014-12-04
