library,version,sign,date
junit,4.12,+,2014-02-06
junit,4.8.2,-,2013-11-04
junit,4.11,-,2014-02-06
junit,4.11,+,2013-11-04
spring-security-config,3.1.3.RELEASE,-,2012-12-30
spring-security-config,3.1.3.RELEASE,+,2012-12-30
spring-security-config,3.1.3.RELEASE,-,2013-01-10
spring-security-config,3.1.3.RELEASE,+,2013-01-10
spring-security-config,3.1.3.RELEASE,-,2013-05-23
spring-security-web,3.1.3.RELEASE,-,2012-12-30
spring-security-web,3.1.3.RELEASE,+,2012-12-30
spring-security-web,3.1.3.RELEASE,-,2013-01-10
spring-security-web,3.1.3.RELEASE,+,2013-01-10
spring-security-web,3.1.3.RELEASE,-,2013-05-23
