library,version,sign,date
junit,4.10,+,2014-05-21
junit,4.10,-,2014-05-21
mongo-java-driver,2.11.2,-,2013-07-12
mongo-java-driver,2.12.2,+,2014-05-21
mongo-java-driver,2.12.1,-,2014-05-20
mongo-java-driver,2.12.2,-,2014-05-21
mongo-java-driver,2.12.2,-,2015-01-09
mongo-java-driver,2.12.0,-,2014-05-07
testcontainers,1.1.0,+,2016-01-10
testcontainers,1.1.0,-,2017-03-17
jdom,1.1.2,+,2014-05-21
jdom,1.1.2,-,2014-09-16
jdom,1.1.3,+,2014-09-16
jdom,1.1.2,-,2014-05-21
json,20180813,+,2019-08-13
guava,13.0,-,2014-05-21
guava,13.0,+,2014-05-21
guava,14.0.1,-,2013-07-12
guava,13.0,+,2013-07-12
guava,17.0,+,2014-09-16
guava,18.0,+,2017-08-04
log4j,1.2.16,-,2014-05-21
log4j,1.2.16,+,2014-05-21
avro,1.7.4,-,2014-05-21
avro,1.3.3,-,2013-07-12
avro,1.7.6,-,2016-01-10
avro,1.8.1,-,2017-09-15
avro,1.7.4,+,2013-07-12
avro,1.8.2,+,2017-09-15
avro,1.8.1,+,2016-01-10
avro,1.7.6,+,2014-05-21
