library,version,sign,date
easymock,2.0,+,2011-01-21
easymock,2.0,+,2017-02-05
easymock,2.0,+,2016-09-11
easymock,2.0,-,2016-09-11
easymock,3.4,+,2015-11-09
easymock,2.0,-,2017-02-05
jaxws-rt,2.1.4,+,2010-05-13
jaxws-rt,2.1.4,-,2009-09-17
jaxws-rt,2.1.4,+,2010-05-12
jaxws-rt,2.1.4,-,2011-06-23
jaxws-rt,2.1.4,-,2010-12-14
jaxws-rt,2.1.4,+,2009-02-22
jaxws-rt,2.1.4,+,2010-12-14
jaxws-rt,2.1.4,-,2009-02-22
jaxws-rt,2.1.4,-,2010-05-12
jaxws-rt,2.1.4,-,2010-05-13
commons-codec,1.10,-,2017-02-05
commons-codec,1.3,-,2009-02-22
commons-codec,1.3,-,2017-10-15
commons-codec,1.3,-,2015-01-08
commons-codec,1.3,+,2010-01-12
commons-codec,1.3,-,2016-09-11
commons-codec,1.3,+,2015-11-09
commons-codec,1.3,-,2009-09-17
commons-codec,1.10,+,2017-02-05
commons-codec,1.3,-,2010-01-12
commons-codec,1.3,+,2009-09-17
commons-codec,1.3,+,2015-01-08
commons-codec,1.3,+,2013-08-26
commons-codec,1.3,+,2009-02-22
commons-codec,1.9,-,2016-09-11
commons-codec,1.10,+,2016-09-11
commons-codec,1.9,+,2014-01-06
commons-codec,1.3,-,2010-11-03
mail,1.4.7,-,2017-02-05
mail,1.4.7,+,2014-01-06
mail,1.4.7,+,2017-02-05
mail,1.4.7,+,2016-09-11
mail,1.4.7,-,2016-09-11
juddi-tomcat,3.0.0,-,2009-10-23
juddi-tomcat,3.0.0.SNAPSHOT,+,2009-09-17
juddi-tomcat,3.0.0.alpha,-,2009-02-11
juddi-tomcat,3.0.2.SNAPSHOT,-,2010-01-26
juddi-tomcat,3.0.0.SNAPSHOT,-,2009-06-04
juddi-tomcat,3.0.0.beta,+,2009-02-22
juddi-tomcat,3.0.2-SNAPSHOT,+,2010-01-26
juddi-tomcat,3.0.0.SNAPSHOT,-,2009-02-06
juddi-tomcat,3.0.1,-,2010-01-26
juddi-tomcat,3.0.0.beta,-,2009-06-04
juddi-tomcat,3.0.0.SNAPSHOT,-,2009-10-15
juddi-tomcat,3.0.0.SNAPSHOT,-,2009-10-12
juddi-tomcat,3.0.0.rc1,-,2009-09-15
