library,version,sign,date
maven-scm-test,1.1-SNAPSHOT,-,2008-08-21
maven-scm-test,1.1-SNAPSHOT,-,2008-08-22
maven-scm-test,1.0,+,2008-06-03
maven-scm-test,1.2-SNAPSHOT,+,2008-08-12
maven-scm-test,1.0,+,2007-09-24
maven-scm-test,1.4-SNAPSHOT,-,2010-01-09
maven-scm-test,1.0-alpha-1-SNAPSHOT,+,2004-10-20
maven-scm-test,1.0-SNAPSHOT,+,2006-04-19
maven-scm-test,1.1-SNAPSHOT,-,2008-08-11
maven-scm-test,1.0,-,2007-09-24
maven-scm-test,1.0-alpha-2-SNAPSHOT,-,2005-06-08
maven-scm-test,1.0-alpha-4-SNAPSHOT,-,2005-10-06
maven-scm-test,1.3-SNAPSHOT,-,2009-08-24
maven-scm-test,1.0-beta-1,-,2005-10-24
maven-scm-test,1.1-SNAPSHOT,-,2008-08-13
maven-scm-test,1.1.1-SNAPSHOT,-,2009-02-28
maven-scm-test,1.3-SNAPSHOT,-,2010-01-10
maven-scm-test,1.3-SNAPSHOT,-,2010-01-11
maven-scm-test,1.3,-,2010-01-10
maven-scm-test,1.3,-,2010-01-11
maven-scm-test,1.2-SNAPSHOT,-,2008-08-13
maven-scm-test,1.2-SNAPSHOT,-,2008-08-12
maven-scm-test,1.2-SNAPSHOT,-,2008-08-11
maven-scm-test,1.0-beta-2,-,2005-12-08
maven-scm-test,1.0-SNAPSHOT,-,2006-04-19
maven-scm-test,1.2-SNAPSHOT,-,2009-03-15
maven-scm-test,1.0-SNAPSHOT,-,2007-04-25
maven-scm-test,1.0-alpha-2-SNAPSHOT,-,2005-09-16
maven-scm-test,1.1,-,2008-08-12
maven-scm-test,1.1,-,2008-08-11
maven-scm-test,1.0,-,2008-06-03
maven-scm-test,1.4-SNAPSHOT,-,2010-01-10
maven-scm-test,1.4-SNAPSHOT,-,2010-01-11
maven-scm-test,1.2-SNAPSHOT,-,2008-08-23
maven-scm-test,1.2-SNAPSHOT,-,2008-08-22
maven-scm-test,1.3,-,2010-01-09
maven-scm-test,1.0-alpha-3-SNAPSHOT,-,2005-09-16
maven-scm-test,1.0-beta-2-SNAPSHOT,-,2005-11-14
maven-scm-test,1.0-SNAPSHOT,-,2007-04-13
maven-scm-test,1.0-alpha-1-SNAPSHOT,-,2004-11-09
maven-scm-test,1.1,-,2008-08-23
maven-scm-test,1.1,-,2008-08-22
maven-scm-test,1.0-alpha-1-SNAPSHOT,-,2005-04-05
maven-scm-test,1.4,-,2010-08-05
maven-scm-test,1.0-beta-3-SNAPSHOT,+,2006-02-26
maven-scm-test,1.4,-,2010-08-04
maven-scm-test,1.0,-,2007-05-23
maven-scm-test,1.0,-,2007-05-22
maven-scm-test,1.0,-,2008-08-07
maven-scm-test,1.0-alpha-2,+,2005-06-08
maven-scm-test,1.0-alpha-2,-,2005-09-16
maven-scm-test,1.0,+,2008-04-11
maven-scm-test,1.0-alpha-4,-,2005-10-24
maven-scm-test,1.0-alpha-1,-,2005-05-13
maven-scm-test,1.0-481343,-,2006-12-01
maven-scm-test,1.0-alpha-3,+,2005-09-16
maven-scm-test,1.0-beta-3-SNAPSHOT,-,2006-03-01
maven-scm-test,1.0-alpha-2-SNAPSHOT,+,2005-06-08
maven-scm-test,1.0-beta-1-SNAPSHOT,-,2005-10-25
maven-scm-test,1.0-beta-3,-,2006-04-19
maven-scm-test,1.0-alpha-3,-,2005-10-06
maven-scm-test,1.0-SNAPSHOT,-,2006-12-06
maven-scm-test,1.4-SNAPSHOT,-,2010-08-05
maven-scm-test,1.0-SNAPSHOT,-,2006-12-08
maven-scm-test,1.5-SNAPSHOT,-,2010-08-05
maven-scm-test,1.5-SNAPSHOT,-,2010-08-04
maven-scm-test,1.0-beta-4,-,2007-01-15
maven-scm-test,1.0-SNAPSHOT,-,2007-05-23
maven-scm-test,1.0-beta-1,-,2005-11-14
maven-scm-test,1.0-rc1,-,2007-04-13
maven-scm-test,1.2,-,2009-03-23
maven-scm-api,1.1-SNAPSHOT,-,2008-08-21
maven-scm-api,1.1-SNAPSHOT,-,2008-08-22
maven-scm-api,1.0,+,2008-06-03
maven-scm-api,1.2-SNAPSHOT,+,2008-08-12
maven-scm-api,1.4-SNAPSHOT,-,2010-01-09
maven-scm-api,1.0-alpha-1-SNAPSHOT,+,2004-10-20
maven-scm-api,1.1-SNAPSHOT,-,2008-06-03
maven-scm-api,1.1-SNAPSHOT,+,2008-08-07
maven-scm-api,1.1-SNAPSHOT,-,2008-08-11
maven-scm-api,1.0,-,2007-09-24
maven-scm-api,1.0-alpha-2-SNAPSHOT,-,2005-06-08
maven-scm-api,1.0-alpha-4-SNAPSHOT,-,2005-10-06
maven-scm-api,1.3-SNAPSHOT,-,2009-08-24
maven-scm-api,1.0-beta-1,-,2005-10-24
maven-scm-api,1.1-SNAPSHOT,-,2008-08-13
maven-scm-api,1.1.1-SNAPSHOT,-,2009-02-28
maven-scm-api,1.3-SNAPSHOT,-,2010-01-10
maven-scm-api,1.3-SNAPSHOT,-,2010-01-11
maven-scm-api,1.3,-,2010-01-10
maven-scm-api,1.3,-,2010-01-11
maven-scm-api,1.1-SNAPSHOT,+,2008-06-03
maven-scm-api,1.2-SNAPSHOT,-,2008-08-13
maven-scm-api,1.2-SNAPSHOT,-,2008-08-12
maven-scm-api,1.2-SNAPSHOT,-,2008-08-11
maven-scm-api,1.0-beta-2,-,2005-12-08
maven-scm-api,1.0-SNAPSHOT,-,2006-04-19
maven-scm-api,1.2-SNAPSHOT,-,2009-03-15
maven-scm-api,1.0-SNAPSHOT,-,2007-04-25
maven-scm-api,1.0-alpha-2-SNAPSHOT,-,2005-09-16
maven-scm-api,1.1,-,2008-08-12
maven-scm-api,1.1,-,2008-08-11
maven-scm-api,1.0,-,2008-06-03
maven-scm-api,1.4-SNAPSHOT,-,2010-01-10
maven-scm-api,1.4-SNAPSHOT,-,2010-01-11
maven-scm-api,1.2-SNAPSHOT,-,2008-08-23
maven-scm-api,1.2-SNAPSHOT,-,2008-08-22
maven-scm-api,1.3,-,2010-01-09
maven-scm-api,1.0-alpha-3-SNAPSHOT,-,2005-09-16
maven-scm-api,1.0-beta-2-SNAPSHOT,-,2005-11-14
maven-scm-api,1.0-SNAPSHOT,-,2007-04-13
maven-scm-api,1.0-alpha-1-SNAPSHOT,-,2004-11-09
maven-scm-api,1.1,-,2008-08-23
maven-scm-api,1.1,-,2008-08-22
maven-scm-api,1.0-alpha-1-SNAPSHOT,-,2005-04-05
maven-scm-api,1.4,-,2010-08-05
maven-scm-api,1.4,-,2010-08-04
maven-scm-api,1.0,-,2007-05-23
maven-scm-api,1.0,-,2007-05-22
maven-scm-api,1.0-alpha-2,+,2005-06-08
maven-scm-api,1.0-alpha-2,-,2005-09-16
maven-scm-api,1.0,+,2008-04-11
maven-scm-api,1.0-alpha-4,-,2005-10-24
maven-scm-api,1.0-alpha-1,-,2005-05-13
maven-scm-api,1.0-481343,-,2006-12-01
maven-scm-api,1.0-alpha-3,+,2005-09-16
maven-scm-api,1.0-beta-3-SNAPSHOT,-,2006-03-01
maven-scm-api,1.0-alpha-2-SNAPSHOT,+,2005-06-08
maven-scm-api,1.0-beta-1-SNAPSHOT,-,2005-10-25
maven-scm-api,1.1-SNAPSHOT,-,2008-08-07
maven-scm-api,1.0-beta-3,-,2006-04-19
maven-scm-api,1.0-alpha-3,-,2005-10-06
maven-scm-api,1.0-SNAPSHOT,-,2006-12-06
maven-scm-api,1.4-SNAPSHOT,-,2010-08-05
maven-scm-api,1.5-SNAPSHOT,-,2010-08-05
maven-scm-api,1.5-SNAPSHOT,-,2010-08-04
maven-scm-api,1.0-beta-4,-,2007-01-15
maven-scm-api,1.0-SNAPSHOT,-,2007-05-23
maven-scm-api,1.0-beta-1,-,2005-11-14
maven-scm-api,1.0-rc1,-,2007-04-13
maven-scm-api,1.2,-,2009-03-23
