library,version,sign,date
maven-core,3.0,-,2015-04-06
maven-core,3.0,+,2015-04-06
maven-core,2.1.0,-,2015-01-19
maven-core,3.0,+,2015-01-19
junit,4.9,-,2014-10-30
junit,4.11,+,2015-11-17
junit,4.11,-,2015-04-06
junit,4.9,-,2015-04-06
junit,3.8.1,+,2015-12-30
junit,3.8.2,-,2015-04-06
junit,4.11,+,2015-01-19
junit,4.11,+,2013-07-24
junit,3.8.2,-,2015-01-19
junit,4.11,+,2013-04-24
junit,4.11,+,2015-04-06
junit,3.8.2,-,2013-07-24
junit,4.8.1,-,2013-07-24
junit,3.8.2,-,2015-11-17
junit,4.10,-,2015-12-30
junit,4.9,-,2013-04-25
junit,3.8.2,-,2013-04-24
maven-model,2.0.5,+,2013-03-24
maven-model,2.0.6,+,2014-03-31
maven-model,2.0.6,-,2013-07-24
maven-model,2.0.7,+,2013-04-25
maven-model,2.0.8,-,2015-01-19
mockito-core,1.9.5,+,2013-04-24
mockito-core,1.9.5,+,2013-11-12
