library,version,sign,date
shiro-servlet-plugin,1.4.2-SNAPSHOT,-,2019-04-18
shiro-servlet-plugin,1.4.1,-,2019-04-18
shiro-servlet-plugin,1.4.0-SNAPSHOT,-,2016-12-15
shiro-servlet-plugin,2.alpha.0-SNAPSHOT,-,2016-10-20
shiro-servlet-plugin,1.4.0-RC2,-,2016-11-10
shiro-servlet-plugin,1.4.0-SNAPSHOT,-,2016-11-07
shiro-servlet-plugin,1.4.1-SNAPSHOT,-,2019-02-02
shiro-servlet-plugin,1.5.0-SNAPSHOT,-,2019-06-06
shiro-its-support,1.4.2-SNAPSHOT,-,2019-04-18
shiro-its-support,1.4.1,-,2019-04-18
shiro-its-support,1.4.0-SNAPSHOT,+,2016-10-17
shiro-its-support,1.4.0-SNAPSHOT,-,2016-12-15
shiro-its-support,1.4.0-RC2,-,2016-11-10
shiro-its-support,1.4.0-SNAPSHOT,-,2016-11-07
shiro-its-support,1.4.1-SNAPSHOT,-,2019-02-02
shiro-its-support,1.5.0-SNAPSHOT,-,2019-06-06
htmlunit,2.6,+,2016-10-10
htmlunit,2.36.0,-,2020-03-18
htmlunit,2.35.0,-,2019-07-01
htmlunit,2.6,+,2016-09-30
htmlunit,2.39.0,+,2020-03-18
htmlunit,2.23,-,2019-05-22
htmlunit,2.36.0,+,2019-07-01
htmlunit,2.23,+,2016-10-17
htmlunit,2.35.0,+,2019-05-22
htmlunit,2.6,-,2016-09-30
htmlunit,2.6,-,2016-10-17
log4j,1.2.16,-,2016-11-07
log4j,1.2.17,+,2019-05-22
log4j,1.2.17,-,2019-05-22
