library,version,sign,date
geronimo-json_1.0_spec,1.0-alpha-1,+,2015-05-15
johnzon-jaxrs,0.9.2-incubating,-,2016-07-05
johnzon-jaxrs,0.9.2-incubating,+,2016-07-05
johnzon-jaxrs,0.9.2-incubating,-,2015-11-03
johnzon-jaxrs,0.9.2-incubating,+,2015-11-03
johnzon-jaxrs,0.9.2-incubating,+,2015-05-15
velocity,1.7,-,2016-07-05
velocity,1.7,+,2016-07-05
velocity,1.7,-,2015-11-03
velocity,1.7,+,2015-11-03
commons-lang3,3.4,+,2016-07-05
commons-lang3,3.3.1,+,2014-07-11
commons-lang3,3.4,+,2015-11-01
commons-lang3,3.4,-,2016-07-05
commons-lang3,3.2.1,-,2014-07-11
commons-lang3,3.4,+,2015-11-03
commons-lang3,3.1,-,2014-07-11
commons-lang3,3.4,-,2015-11-03
