library,version,sign,date
jackson-core,2.0.5,-,2012-08-20
jackson-core,2.0.6,-,2012-09-26
jackson-core,2.0.5,+,2012-02-03
staxon,1.3,-,2014-02-06
staxon,0.9.6-SNAPSHOT,-,2012-01-14
staxon,0.9.3-SNAPSHOT,-,2011-12-02
staxon,1.2,-,2012-09-26
staxon,0.9.4,-,2012-01-14
staxon,1.0-SNAPSHOT,-,2012-02-03
staxon,0.9.1,-,2011-11-18
staxon,0.9.5,-,2012-01-14
staxon,0.8.2,-,2011-10-27
staxon,0.9.3,-,2011-12-02
staxon,1.3-SNAPSHOT,-,2014-02-06
staxon,0.9.1,-,2011-10-29
staxon,0.9.2,+,2011-10-29
staxon,1.0,-,2012-02-03
staxon,0.9.2-SNAPSHOT,-,2011-10-29
staxon,1.2-SNAPSHOT,-,2012-09-25
staxon,1.1-SNAPSHOT,-,2012-08-19
staxon,0.9.0-SNAPSHOT,-,2011-10-28
staxon,0.9.0-SNAPSHOT,-,2011-10-29
staxon,0.9.4-SNAPSHOT,-,2011-12-18
staxon,1.1,-,2012-08-20
staxon,0.9.2,-,2011-11-18
staxon,0.9.4,-,2011-12-18
staxon,0.9.0,-,2011-10-28
staxon,0.9.0-SNAPSHOT,+,2011-10-28
staxon,0.9.3-SNAPSHOT,-,2011-11-18
staxon,0.9.0,-,2011-10-29
staxon,1.0,+,2012-01-14
staxon,0.9.4,+,2011-12-02
staxon,0.9.1-SNAPSHOT,-,2011-10-29
staxon,0.9.5-SNAPSHOT,-,2011-12-18
staxon,0.9.3-SNAPSHOT,+,2011-11-18
